리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,사용자_익명ID,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
117912,2026-08-01 1:12,2026-07-28 8:06,2026-07-29 18:38,너무시원하고 슬룸마사지 한동안 잠이 스르르 올정도입니다. 반신반의하고 구매했는데 진짜 잘산거같아요. 한가지 아쉬운점은 누워서 버튼작동이 불편하다는점.리모콘이 있음 좋겠다는 생각을 했네요. 그것빼고는 대만족입니다.,,,1033,[신금동x슬룸] 최저가 마켓 OPEN,79000,수량선택: ★최저가★ 경추 마사지 베개 V2 1개 + (증정) 마그네슘 크림 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117913,2026-08-02 0:01,2026-07-20 11:57,2026-07-21 16:14,"한손으로 착용하기엔 찍찍이 길이가 짧아서  시간이 오래걸림.
착용하기 귀찮아서 안하게 됨.
",3d19e1af7283,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 데일리 릴렉스 세트 (팔꿈치 마사지기 + 마그네슘 시너지 크림),모바일(상품리뷰),2,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다. 😥

해당 부분에 대해서는 현재 슬룸 내부적으로 인지하고 있는 부분이며, 현재 개선하기 위해 노력하고 있습니다.
곧 좋은 소식으로 고객님들에게 더 나은 제품을 제공할 수 있도록 하겠습니다.

추가로 궁금하신 점이 있으시거나 문자 확인하신 후에도 해결되지 않는 경우
번거로우시겠지만 슬룸 채팅 상담을 통해 연락 주시면 빠르게 안내 도와드리겠습니다.

▶ 슬룸 채팅 상담 (※ 월-목 09:30-17:00, 금 09:30-16:00, 주말 및 공휴일 휴무)
http://sloom.channel.io/

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다. 감사합니다."
117914,2026-08-01 5:07,2026-07-30 5:18,2026-07-31 13:40,부드럽고 마사지효과가 좋아요,,,724,★최대할인 비밀링크★ 목베개 플러스 특가,69000,수량선택: 목베개 플러스 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
117915,2026-08-01 7:36,2026-07-26 17:59,2026-07-28 18:48,엄청 시원하고 좋네요ㅎㅎ,,,1043,[슬룸 4차 진행!] 코이티비 구독자 전용 ★최저가★ 비밀링크,99000,수량선택: ★코이티비SET★목 마사지 베개 V2 1개 + 종아리편한케어 1개 +(증정)마그네슘 시너지 크림 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
정성스럽게 올려주신 소중한 후기 감사합니다. 💜

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다.
감사합니다. 🙇‍♀️"
117916,2026-08-01 8:35,2026-07-30 8:48,2026-07-31 13:48,나쁘지 않아요 빠른 배송 감사합니다,,,379,넥숄더 프로 목 어깨 마사지기,109000,수량선택: 넥숄더 프로 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117917,2026-08-01 11:04,2026-06-28 10:01,2026-06-30 16:18,"솔직히 인스타 광고 보고 주문했는데
젤 없음 소용없고 생각보다 별로에요.
팔은 혼자 하기엔 불편합니다.
CS도 별로입니다.",,,1008,★최대할인 비밀링크★ 바디 풀고컷 경락 마사지기,89900,수량선택: 바디 풀고컷 1개 (트리플 샷 시너지 젤 1개 증정),기존리뷰,2,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117918,2026-08-01 11:53,2026-07-26 0:09,2026-07-28 19:59,아주 시원하고 개운합니다,,,1043,[슬룸 4차 진행!] 코이티비 구독자 전용 ★최저가★ 비밀링크,99000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
117919,2026-08-01 12:16,2026-07-29 7:51,2026-07-30 16:14,두드림은 별로 에어리프트는 좀 소소 유튜브에 속아 샀던 일룸 제품 중 그나만 괜찮음,,,724,★최대할인 비밀링크★ 목베개 플러스 특가,69000,수량선택: 목베개 플러스 1개,기존리뷰,3,,1,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117920,2026-08-01 13:12,2026-06-27 1:37,2026-06-30 16:24,"강도가 조금 부족해요...
마사지 강도가 더 쎄면 좋을거 같아요",,,909,목 마사지 베개 V2 경추 마사지기 베개,129000,수량선택: 코어 밸런스 업 세트 (허리편한케어 V2 + 목 마사지 베개 V2),기존리뷰,2,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?page=1#13709226_notice 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
117921,2026-08-01 13:25,2026-07-23 20:02,2026-07-25 13:45,배송이 빠르고 좋아요,,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 핸드 밸런스 세트 (팔꿈치 마사지기 + 손편한케어),기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
