리뷰ID,리뷰작성일,상품구매일,배송완료일,리뷰본문,사용자_익명ID,회원등급,상품번호,상품명,상품가격,상품옵션,리뷰작성경로,리뷰별점,태그,포토개수,동영상개수,댓글개수,댓글내용
114605,2026-06-01 04:27:13,2026-05-27 03:03:50,2026-05-28 18:41:04,전도체 스프레이나 물 없이도 작동되는게 너무나 편하고 좋습니다. 생각보다 자극이 잘 되는것도 마음에 듭니다. 족저근막염도 있고 평소 좀 걸으면 발바닥이 아파오는데 이거 쓰니까 발바닥 통증이 좀 줄어든 느낌입니다. 계속 잘 쓸 것 같습니다.,,,757,★최대할인 비밀링크★ 발편한케어 프리미엄 발 마사지기,89000,"사이즈선택: M (220 - 270mm), 수량선택: 발편한케어 V1 1개",기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114606,2026-06-01 07:12:09,2026-05-22 10:52:45,2026-05-23 15:25:00,가격과 사이즈 대비 마사지 강도도 좋고 온열기능도 있어서 쌀쌀해지면 더 좋을 것 같아요,,,71,허리베개 프로 허리 마사지기,89000,수량선택: 허리베개 프로 1개,기존리뷰,4,,3,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114607,2026-06-01 08:00:41,2026-05-14 10:36:50,2026-05-15 11:32:00,"그냥 그래요ᆢ
광고처럼 엄청 좋은지 잘모르겠어요",,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,2,,0,0,1,"안녕하세요 고객님, 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다.😥

슬룸의 모든 제품은 인체공학적으로 설계되어 편안한 사용이 가능하나 초기 사용 시 1~2주 이상의 적응 기간이 필요할 수 있습니다. 
다만 수령하신 날짜 기준으로 30일 동안 꾸준히 사용해보시고도 만족하지 못하셨을 경우에는, 슬룸에서 진행하는 <100%환불이벤트> 에 참여하여 왕복배송비 제외 전액 환불이 가능합니다.

※ 제품을 30일간 꾸준히 사용한 경우, 배송완료 후 40일이내 신청이 가능
※ 환불 서비스는 첫 구매 체험을 위한 서비스로 1회만 신청 가능

▶ <100% 환불 이벤트> 상세 환불 조건 : https://sleeplab.co.kr/notice/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=13709226&t=board 

슬룸을 믿고 편하게 사용 및 체험해보시고, 그럼에도 만족하시지 못하셨을 경우 슬룸 공식몰의 채널톡을 통해 이벤트 기간 내 문의 주시면 환불 접수 도움드리겠습니다."
114608,2026-06-01 10:34:40,2026-05-27 17:34:35,2026-05-29 16:16:11,피곤한 날  사용하면 종아리까지 시원해요,,,924,발편한케어 프리미엄 EMS 발 마사지기,89000,"버전&세트선택: V1, 사이즈&세트선택: M (220-270mm), 수량선택: 발편한케어 V1 1개",기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114609,2026-06-01 11:20:39,2026-05-28 20:53:25,2026-05-30 13:38:57,병원 물리치료 안가도 되겠어요. 저도 어머니께서도 만족합니다.,,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 데일리 릴렉스 세트 (팔꿈치 마사지기 + 마그네슘 시너지 크림),기존리뷰,5,,4,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114610,2026-06-01 12:11:19,2026-05-28 07:46:05,2026-05-29 18:36:49,3일 사용 해ㅛ는데 좋아요,,,924,발편한케어 프리미엄 EMS 발 마사지기,89000,"버전&세트선택: V2, 사이즈&세트선택: F(220-270mm), 수량선택: 발편한케어 V2 1개",기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114611,2026-06-01 12:21:53,2026-05-15 10:18:40,2026-05-16 13:33:00,목 배게는 아주편합니다,,,964,[코어 밸런스 업 세트] 허리편한케어 V2 + 목 마사지 베개 V2,242000,수량선택: 코어 밸런스 업 세트 (허리편한케어 V2 + 목 마사지 베개 V2),기존리뷰,4,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114612,2026-06-01 14:02:01,2026-05-07 18:33:35,2026-05-09 17:34:00,마시지 효과 좋네요,,,969,[배말랭x슬룸] 어버이날 ★최저가★ 선물 찬스!,99000,수량선택: 목마사지베개 V2 1개 + (증정)마그네슘 시너지 크림 30ml 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114613,2026-06-01 15:16:56,2026-05-27 07:39:55,2026-05-28 18:37:02,빠른배송 감사합니다,,,636,허리편한케어 V2 허리 마사지기,131000,수량선택: 허리편한케어 V2 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
114614,2026-06-01 15:18:42,2026-05-28 15:11:40,2026-05-30 13:47:24,효과는 아직 잘 모르지만 기대합니다 다른 기기는 EMS TENS 작동이 개별었는데 이건 동시작동인거지 모드에 별도 표시가 없어요 버클 채우기가 조금 힘들어요,,,980,프리미엄 엘보케어 팔꿈치 마사지기,149000,수량선택: 데일리 릴렉스 세트 (팔꿈치 마사지기 + 마그네슘 시너지 크림),기존리뷰,4,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
고객님께 만족스러운 경험을 드리지 못해 대단히 죄송합니다. 😥

리뷰로는 상세한 안내가 어려워, 자세한 내용 알림톡(문자) 발송 도와드렸으니 확인 부탁드리겠습니다.
추가로 궁금하신 점이 있으시거나 문자 확인하신 후에도 해결되지 않는 경우
번거로우시겠지만 슬룸 채팅 상담을 통해 연락 주시면 빠르게 안내 도와드리겠습니다.

▶ 슬룸 채팅 상담 (※ 월-목 09:30-17:00, 금 09:30-16:00, 주말 및 공휴일 휴무)
http://sloom.channel.io/

고객님의 목소리로 더 발전하는 슬룸이 되도록 노력하겠습니다. 감사합니다."
114615,2026-06-01 16:04:06,2026-05-01 08:48:20,2026-05-06 17:24:04,목 뭉친데 풀기는 최고예요,,,925,★7일 특별 연장★ 덤순이X슬룸 구독자 한정 역대급 할인,98800,수량선택: 넥숄더 힐링케어V2 1개,기존리뷰,5,,0,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
시간 내어 소중한 후기를 작성해 주셔서 감사드립니다. :)

믿고 찾는 쇼핑몰이 되기 위해 더 좋은 상품과 서비스를 준비하겠습니다.
감사합니다. 💜"
114616,2026-06-01 17:18:52,2026-05-17 20:02:45,2026-05-19 13:49:00,광고만큼은 아니지만 그래도 시원하네요,,,909,목 마사지 베개 V2 경추 마사지기 베개,112000,수량선택: 목 마사지 베개 V2 1개,기존리뷰,5,,1,0,1,"안녕하세요. 프리미엄 헬스테크 브랜드, 슬룸입니다.
진심 어린 소중한 후기 감사합니다. 💜

앞으로도 좋은 상품과 서비스로 고객님들을 찾아뵐 수 있도록 노력하겠습니다.
감사합니다. :)"
